utr,amount,value_date,narration
UTR_00001,6996.26,2024-12-20,NEFT/ORD_00001/AXIS
UTR_00002,1632.49,2024-08-04,NEFT/ORD_00002/AXIS
,2255.24,2024-02-12,NEFT/ORD_00003/AXIS
,7504.96,2024-02-12,NEFT/ORD_00005/AXIS
UTR_00006,596.41,2024-12-13,NEFT/ORD_00006/AXIS
UTR_00007,5078.22,2024-04-25,NEFT/ORD_00007/AXIS
UTR_00008,663.11,2024-02-28,NEFT/ORD_00008/AXIS
UTR_00009,8527.10,2024-02-20,NEFT/ORD_00009/AXIS
UTR_00010,4097.38,2024-06-28,NEFT/ORD_00010/AXIS
UTR_00011,5832.54,2024-01-30,NEFT/ORD_00011/AXIS
UTR_00012,6607.99,2024-08-18,NEFT/ORD_00012/AXIS
UTR_00013,9353.59,2024-05-29,NEFT/ORD_00013/AXIS
UTR_00014,6730.29,2024-08-17,NEFT/ORD_00014/AXIS
UTR_00015,2462.99,2024-10-15,NEFT/ORD_00015/AXIS
UTR_00016,1395.69,2024-08-06,NEFT/ORD_00016/AXIS
UTR_00017,4626.52,2024-02-23,NEFT/ORD_00017/AXIS
,192.22,2024-03-14,NEFT/ORD_00018/AXIS
UTR_00019,825.28,2024-06-04,NEFT/ORD_00019/AXIS
UTR_00020,5108.26,2024-04-06,NEFT/ORD_00020/AXIS
UTR_00021,9339.27,2024-02-20,NEFT/ORD_00021/AXIS
UTR_00022,8805.36,2024-09-26,NEFT/ORD_00022/AXIS
UTR_00023,8354.08,2024-08-08,NEFT/ORD_00023/AXIS
UTR_00024,6155.61,2024-01-07,NEFT/ORD_00024/AXIS
UTR_00025,6711.85,2024-08-06,NEFT/ORD_00025/AXIS
UTR_00026,9324.38,2024-03-16,NEFT/ORD_00026/AXIS
UTR_00027,9395.41,2024-04-08,NEFT/ORD_00027/AXIS
UTR_00028,2718.21,2024-03-19,NEFT/ORD_00028/AXIS
UTR_00029,7449.93,2024-04-25,NEFT/ORD_00029/AXIS
UTR_00030,2887.95,2024-06-02,NEFT/ORD_00030/AXIS
UTR_00031,6906.22,2024-07-11,NEFT/ORD_00031/AXIS
UTR_00032,5103.55,2024-07-02,NEFT/ORD_00032/AXIS
UTR_00033,9062.83,2024-02-07,NEFT/ORD_00033/AXIS
,1013.75,2024-11-04,NEFT/ORD_00034/AXIS
UTR_00035,8310.55,2024-02-02,NEFT/ORD_00035/AXIS
UTR_00036,135.10,2024-04-05,NEFT/ORD_00036/AXIS
UTR_00037,6407.42,2024-07-10,NEFT/ORD_00037/AXIS
UTR_00038,1699.66,2024-11-18,NEFT/ORD_00038/AXIS
