payment_id,utr,amount,fee,settled_at
PAY_00001,UTR_00001,6856.33,139.93,2024-12-20T18:11:00
PAY_00002,UTR_00002,1599.84,32.65,2024-08-04T10:20:00
PAY_00003,,2210.14,45.10,2024-02-12T23:04:00
PAY_00005,,7354.86,150.10,2024-02-12T00:02:00
PAY_00006,UTR_00006,584.48,11.93,2024-12-13T13:28:00
PAY_00007,UTR_00007,4976.66,101.56,2024-04-25T00:20:00
PAY_00008,UTR_00008,649.85,13.26,2024-02-28T17:02:00
PAY_00009,UTR_00009,8356.56,170.54,2024-02-20T06:29:00
PAY_00010,UTR_00010,4015.43,81.95,2024-06-28T15:55:00
PAY_00011,UTR_00011,5715.89,116.65,2024-01-30T07:32:00
PAY_00012,UTR_00012,6475.83,132.16,2024-08-18T17:57:00
PAY_00013,UTR_00013,9166.52,187.07,2024-05-29T02:41:00
PAY_00014,UTR_00014,6595.68,134.61,2024-08-17T03:45:00
PAY_00015,UTR_00015,2413.73,49.26,2024-10-15T13:51:00
PAY_00016,UTR_00016,1367.78,27.91,2024-08-06T19:49:00
PAY_00017,UTR_00017,4533.99,92.53,2024-02-23T04:46:00
PAY_00018,,188.38,3.84,2024-03-14T04:17:00
PAY_00019,UTR_00019,808.77,16.51,2024-06-04T14:08:00
PAY_00020,UTR_00020,5006.09,102.17,2024-04-06T19:50:00
PAY_00021,UTR_00021,9152.48,186.79,2024-02-20T11:12:00
PAY_00022,UTR_00022,8629.25,176.11,2024-09-26T10:57:00
PAY_00023,UTR_00023,8187.00,167.08,2024-08-08T15:52:00
PAY_00024,UTR_00024,6032.50,123.11,2024-01-07T01:43:00
PAY_00025,UTR_00025,6577.61,134.24,2024-08-06T09:01:00
PAY_00026,UTR_00026,9137.89,186.49,2024-03-16T19:18:00
PAY_00027,UTR_00027,9207.50,187.91,2024-04-08T03:54:00
PAY_00028,UTR_00028,2663.85,54.36,2024-03-19T07:35:00
PAY_00029,UTR_00029,7300.93,149.00,2024-04-25T13:38:00
PAY_00030,UTR_00030,2830.19,57.76,2024-06-02T18:01:00
PAY_00031,UTR_00031,6768.10,138.12,2024-07-11T14:27:00
PAY_00032,UTR_00032,5001.48,102.07,2024-07-02T05:39:00
PAY_00033,UTR_00033,8881.57,181.26,2024-02-07T08:46:00
PAY_00034,,993.47,20.28,2024-11-04T19:31:00
PAY_00035,UTR_00035,8144.34,166.21,2024-02-02T11:28:00
PAY_00036,UTR_00036,132.40,2.70,2024-04-05T15:14:00
PAY_00037,UTR_00037,6279.27,128.15,2024-07-10T03:00:00
PAY_00038,UTR_00038,1665.67,33.99,2024-11-18T02:38:00
PAY_00039,UTR_00039,5450.41,111.23,2024-11-07T19:22:00
PAY_00040,,5539.92,113.06,2024-03-22T20:08:00
PAY_00041,UTR_00041,828.01,16.90,2024-04-18T21:54:00
PAY_00042,UTR_00042,5391.31,110.03,2024-09-26T05:31:00
PAY_00043,UTR_00043,5749.50,117.34,2024-04-18T05:07:00
PAY_00044_A,UTR_00044_A,1806.56,36.87,2024-01-31T20:00:00
PAY_00044_B,UTR_00044_B,2461.23,50.23,2024-01-31T20:00:00
PAY_00045,UTR_00045,8819.92,180.00,2024-01-30T10:12:00
PAY_00046,UTR_00046,8819.36,179.99,2024-06-02T08:21:00
PAY_00047,UTR_00047,6715.41,137.05,2024-03-16T05:26:00
PAY_00048,UTR_00048,3529.39,72.03,2024-10-23T06:57:00
PAY_00049,UTR_00049,9546.17,194.82,2024-04-22T22:00:00
PAY_00050_A,UTR_00050_A,9079.76,185.30,2024-06-21T18:17:00
PAY_00050_B,UTR_00050_B,9079.76,185.30,2024-06-21T18:17:00
PAY_00051,UTR_00051,8484.68,173.16,2024-05-09T07:12:00
PAY_00052,UTR_00052,1838.16,37.51,2024-08-30T06:21:00
PAY_00053,UTR_00053,7687.14,156.88,2024-10-27T04:12:00
PAY_00054,UTR_00054,2686.55,54.83,2024-03-20T02:06:00
PAY_00055,UTR_00055,3809.42,77.74,2024-01-29T13:45:00
PAY_00056,UTR_00056,8428.07,172.00,2024-06-11T08:18:00
PAY_00057,UTR_00057,2034.25,41.52,2024-12-01T13:22:00
PAY_00058,UTR_00058,3490.39,71.23,2024-06-15T02:31:00
PAY_00059,UTR_00059,2260.80,46.14,2024-05-21T00:11:00
PAY_00060,UTR_00060,3963.91,80.90,2024-07-22T05:56:00
PAY_00061,UTR_00061,8483.95,173.14,2024-07-22T15:03:00
PAY_00062,UTR_00062,3504.82,71.53,2024-10-18T09:53:00
PAY_00063,,6690.69,136.54,2024-08-29T12:15:00
PAY_00064,UTR_00064,9210.48,187.97,2024-03-25T08:44:00
PAY_00065,UTR_00065,8607.03,175.65,2024-07-09T14:03:00
PAY_00066,UTR_00066,1830.46,37.36,2024-07-12T16:21:00
PAY_00067,UTR_00067,469.17,9.58,2024-11-12T19:33:00
PAY_00068,UTR_00068,3451.85,70.45,2024-08-16T18:54:00
PAY_00069_A,UTR_00069_A,4331.89,88.41,2024-03-25T14:03:00
PAY_00069_B,UTR_00069_B,4331.89,88.41,2024-03-25T14:03:00
PAY_00070,UTR_00070,3835.16,78.27,2024-05-18T18:52:00
PAY_00071,,2569.31,52.44,2024-11-13T21:39:00
PAY_00072,UTR_00072,114.41,2.33,2024-05-23T20:26:00
PAY_00073,UTR_00073,3631.67,74.12,2024-02-21T07:52:00
PAY_00074,UTR_00074,9303.98,189.88,2024-08-28T19:39:00
PAY_00075,UTR_00075,6143.86,125.38,2024-04-01T02:59:00
PAY_00076,UTR_00076,7082.06,144.53,2024-08-07T01:30:00
PAY_00077,UTR_00077,3262.63,66.58,2024-08-03T15:56:00
PAY_00078,UTR_00078,5476.91,111.77,2024-05-20T01:38:00
PAY_00079,UTR_00079,4177.17,85.25,2024-10-03T11:02:00
PAY_00080,UTR_00080,6669.34,136.11,2024-05-07T02:20:00
PAY_00081,UTR_00081,6069.73,123.87,2024-08-07T12:28:00
PAY_00082,UTR_00082,4037.74,82.40,2024-01-01T16:05:00
PAY_00083,UTR_00083,3046.19,62.17,2024-06-02T10:12:00
PAY_00084,UTR_00084,4268.77,87.12,2024-08-23T00:42:00
PAY_00085,UTR_00085,4609.31,94.07,2024-11-18T08:18:00
PAY_00086,UTR_00086,6652.94,135.77,2024-12-10T22:31:00
PAY_00087,,7798.82,159.16,2024-05-03T22:34:00
PAY_00088,UTR_00088,6490.17,132.45,2024-07-26T00:31:00
PAY_00089,UTR_00089,5098.91,104.06,2024-09-01T10:50:00
PAY_00090_A,UTR_00090_A,1004.04,20.49,2024-06-20T09:37:00
PAY_00090_B,UTR_00090_B,1004.04,20.49,2024-06-20T09:37:00
PAY_00091,UTR_00091,6625.47,135.21,2024-06-12T22:52:00
PAY_00092,UTR_00092,7923.27,161.70,2024-04-17T16:11:00
PAY_00093,UTR_00093,334.97,6.84,2024-06-27T15:56:00
PAY_00094,UTR_00094,9644.15,196.82,2024-02-25T09:45:00
PAY_00095,,4118.91,84.06,2024-05-21T23:00:00
PAY_00096,UTR_00096,7067.39,144.23,2024-10-06T23:30:00
PAY_00097,UTR_00097,4894.44,99.89,2024-06-27T00:56:00
PAY_00098,UTR_00098,1529.74,31.22,2024-01-05T09:54:00
PAY_00100,UTR_00100,7650.23,156.13,2024-06-08T17:31:00
PAY_00101,UTR_00101,1804.45,36.83,2024-12-04T15:35:00
PAY_00102,UTR_00102,585.22,11.94,2024-06-30T20:03:00
PAY_00103,UTR_00103,8999.29,183.66,2024-03-29T17:53:00
PAY_00104,UTR_00104,4526.59,92.38,2024-12-04T17:13:00
PAY_00105_A,UTR_00105_A,4470.99,91.24,2024-08-19T10:11:00
PAY_00105_B,UTR_00105_B,2103.85,42.94,2024-08-19T10:11:00
PAY_00106,UTR_00106,8746.62,178.50,2024-11-07T02:50:00
PAY_00107,,8156.18,166.45,2024-11-21T01:54:00
PAY_00108,UTR_00108,8801.82,179.63,2024-12-12T00:32:00
PAY_00109_A,UTR_00109_A,4999.97,102.04,2024-07-21T07:22:00
PAY_00109_B,UTR_00109_B,3246.38,66.25,2024-07-21T07:22:00
PAY_00110_A,UTR_00110_A,5155.65,105.22,2024-06-23T14:07:00
PAY_00110_B,UTR_00110_B,5155.65,105.22,2024-06-23T14:07:00
PAY_00111,UTR_00111,2762.14,56.37,2024-02-29T19:07:00
PAY_00112,UTR_00112,2870.14,58.57,2024-07-17T05:33:00
PAY_00113,UTR_00113,3356.39,68.50,2024-02-29T01:11:00
PAY_00114,UTR_00114,1440.50,29.40,2024-06-17T18:35:00
PAY_00115,UTR_00115,3814.21,77.84,2024-04-21T15:27:00
PAY_00116,UTR_00116,6951.68,141.87,2024-02-17T03:28:00
PAY_00117,UTR_00117,4123.05,84.14,2024-08-29T07:34:00
PAY_00118,UTR_00118,5362.41,109.44,2024-10-30T03:10:00
PAY_00119,UTR_00119,702.10,14.33,2024-11-02T07:32:00
PAY_00120,UTR_00120,3876.70,79.12,2024-01-15T14:20:00
PAY_00121,UTR_00121,8410.02,171.63,2024-10-04T08:38:00
PAY_00122,UTR_00122,4726.25,96.45,2024-09-13T12:25:00
PAY_00123,UTR_00123,8378.15,170.98,2024-11-01T11:55:00
PAY_00124_A,UTR_00124_A,2634.86,53.77,2024-06-09T23:11:00
PAY_00124_B,UTR_00124_B,2684.95,54.80,2024-06-09T23:11:00
PAY_00125,UTR_00125,2746.02,56.04,2024-12-20T00:12:00
PAY_00126,,379.60,7.75,2024-09-02T03:17:00
PAY_00127,UTR_00127,6588.83,134.47,2024-10-21T18:56:00
PAY_00128_A,UTR_00128_A,9019.39,184.07,2024-01-21T00:16:00
PAY_00128_B,UTR_00128_B,9019.39,184.07,2024-01-21T00:16:00
PAY_00129_A,UTR_00129_A,2967.86,60.57,2024-01-21T02:38:00
PAY_00129_B,UTR_00129_B,5929.17,121.00,2024-01-21T02:38:00
PAY_00130,UTR_00130,4256.40,86.87,2024-12-02T13:45:00
PAY_00131,UTR_00131,1861.14,37.98,2024-07-08T19:33:00
PAY_00132,UTR_00132,3776.96,77.08,2024-06-03T12:01:00
PAY_00133,UTR_00133,7483.45,152.72,2024-10-03T10:42:00
PAY_00134,UTR_00134,2797.65,57.09,2024-11-05T08:22:00
PAY_00135,UTR_00135,8198.31,167.31,2024-12-08T20:12:00
PAY_00136,UTR_00136,286.05,5.84,2024-02-08T07:15:00
